key;value
ch’el;che il
Havendo;avendo
capitan;capitano
et;e
haverà;avrà
lassar;lasciare
si;sia
onde;quindi
possino;possano
habbino;abbiano
munition;munizione
anco;anche
voluntieri;volentieri
s'abbandoni;si abbandoni
riscio;rischio
diminution;diminuzione
cavaliero;cavaliere
medessimo;medesimo
reputation.;reputazione
avertirla;avvertirla
medesiamo;medesimo
Et;E
reputation;reputazione
comesso;commissionato
scafa;barchetta
cavagli;cavalli
l’ò;l'ho
ditto;detto
scriverrà;scriverà
à;ha
asai;assai
possete;potete
doi;due
scafaiuolo;barcaiolo
scarpellino;scalpellino
carichare;caricare
hovero;oppure
gli;li
fussino;fossero
comesione;commissione
esere;essere
posibile;possibile
piaza;piazza
debe;deve
Saragli ;Gli sarà
disi;dissi
priego;prego
benefitio;beneficio
farebe;farebbe
gudicare;giudicare
paghato;pagato
veggha;veda
inanze;innanzi tutto
navicellone;nave
hopure;oppure
merchato;mercato
paggerà;pagherà
racomando;raccomando
genaio;Gennaio
