id_lettera;mittente;destinatario;luogo_di_spedizione;data_di_spedizione;luogo_di_conservazione;fondo;numerazione;numero_prima_carta;Facciata_prima_carta;numero_totale_facciate;tipologia_lettera;presenza_nota_di_ricezione;presenza_indirizzo;presenza_filigrana;presenza_sigillo;presenza_firma;dimensioni;trascrittore;testo
KBR_ms.III.1635_001;Farnese, Alessandro;Mansfeld, Charles de;Bruxelles;08/03/1586;KBR;ms.III.1635;0;1;r;4;originale;0;1;1;1;1;[205,310];Gianluca Valenti;[*1r] Molto Illustre Signor, Havendo inteso che ’l forte di Blerich, dove sta il capitan Bernabò Barboni, resta con così poca gente, senza polvere et senza viveri se non di giorno in giorno, seben mi persuado che questo non possa essere, et che Vostra Signoria – poiché sa quello che conviene, et se li è ricordato – haverà rimediato a tutto, non posso perciò lassar di avertirla che, sì per la reputation come per tutto quello che può succedere, non è conveniente che stia della maniera che mi dicono. Onde la prego a volersi informare bene di tutto quello che occorre in questo particolare e, stando così, dar ordine così espresso, che non ci sia mancamento perché i soldati vi possino vivere et habbino qualche munition di riserva et la polvere necessaria. Che, per il medessimo effetto, scrivo anco al cavaliero Cigogna che assista et faccia quello che conviene, et confido che quando questo non si possa fare, avvisandomelo lei, più voluntieri darò ordine che s’abbandoni e smantelli che correr risico di ricever qualche danno, con diminution della reputation. Et aspettando risposta, resto pregando Nostro Signor che conservi Vostra Signoria come può. Di Brusselles, a’ 8 di marzo 1586. Di Vostra Signoria al servitio, Alessandro Farnese {al Conte Carlo} [*2v] Al molto Illustre Signore, il signor Conte Carlo di Mansfelt
KBR_ms.III.1635_002;Farnese, Alessandro;Mansfeld, Charles de;Bruxelles;22/04/1586;KBR;ms.III.1635;0;1;r;4;copia;1;1;1;1;1;[205,310];Gianluca Valenti;[*1r] Molto Illustre Signor, Trovomi le due lettere di Vostra Signoria de’ 16, et dipoi l’altra de’ 18 portatami da Giovan Francesco
KBR_ms.III.1635_003;Farnese, Alessandro;Mansfeld, Charles de;Bruxelles;01/05/1586;KBR;ms.III.1635;0;1;r;4;copia;1;1;1;1;1;[205,310];Gianluca Valenti;[*1r] Dupplicato Hieri sul tardi ricevei la di Vostra Signoria de’ 28 scritta la sera, et questa notte l’altra in cifra la mattina, e sento quanto può persuadersi il fastidio e travaglio in ch’ela si trova per le cause che appunta. Et sebene Trincuart mi dice haver mandato huomini et ordini bastanti perché non manchi il pan quotidiano, li ho ordinato che parta lui stesso
KBR_ms.III.1635_004;Farnese, Alessandro;Mansfeld, Charles de;Bruxelles;03/05/1586;KBR;ms.III.1635;0;1;r;4;originale;1;1;1;1;1;[205,310];Gianluca Valenti;[*1r] Molto Illustre Signor, Hieri, con Don Alonso de Leiva, scrissi a Vostra Signoria et le mandai a conferire tutto quello che mi occorreva. Sulla sera poi mi comparvero lettere di Monsignor de Haultepenne, nelle quali mi avvisa che si levava dall’assedio di Nuys, et sarebbe a Grave domani. Col qual avviso già havevo i stivali in piede et caricato le bagaglie di mia casa per andar questa sera a Malines et proseguir inanzi il mio viaggio, ma – essendomi capitato dua hore fa l’altra di Vostra Signoria de’ 30 con nuova della retirata del nemico – ho soprasseduto, pensando d’attender con la diligentia che conviene alle preparationi del dissegno che si ha per incamminarle tanto prima. Et così ho dato anco ordine che la gente d’Anversa soprasseda la sua partenza perché non se n’essendo tanto bisogno potrà servir di scolta alle presente cose. Fratanto ringratio Vostra Signoria della diligentia che ha usato in avvisarmi di quanto passa, et m’occorre solo ricordare che proccuri di conservare i posti, et evitar, per quanto sia possibile, che non entri più vettovaglie né genti nella piazza. La venuta di Monsignor de Haultepenne è stata molto a pproposito, et se non ci saran cose che oblighino in contrario, convenirà che se ne stia con la sua gente dall’altra parte della riviera, perché doverrà haverci più forma di sustento, come per non finir di distruggere totalmente la parte di qua, et ci difficulti più i nostri dissegni, et poiché haverà cavalleria assai, potrà il commissario general retirarsene con le compagnie che erano andato seco, ai lor presidi ordinari, dove staranno più alla mano per le scolte et per le cose che di qua potessero occorre. Et con tal occasione potrà rimandar in qua li cavalli dell’antiglieria, et aspettando avviso di quel che di mano in mano succederà non lascierò di dar tutta la fretta possibile alla mia partenza. Et con questa fine prego Nostro Signore guardi Vostra Signoria come può.  Di Brusselles, a’ 3 di maggio 1586. Al servitio devotissimo, Alessandro Farnese {al Conte Carlo} [*2v] Al molto Illustre Signor, il signor Conte Carlo di Mansfelt {receue à Reech le 6 de mai ’86}
KBR_ms.III.1635_005;Farnese, Alessandro;Mansfeld, Charles de;Bruxelles;08/05/1586;KBR;ms.III.1635;0;1;r;4;originale;1;1;1;1;1;[205,310];Gianluca Valenti;[*1r] Molto Illustre Signor, Col ritorno di Don Alonso de Leiva, venuta di Giovan Francesco, et la lettera di Vostra Signoria de’ 5, resto avvisato di tutto quello che passa. Et poiché sarà arrivato l’officiale del thessoro con i denari, è Trincuart con forma del sustento della gente
KBR_ms.III.1635_006;Farnese, Alessandro;Mansfeld, Charles de;Gemert;25/05/1586;KBR;ms.III.1635;0;1;r;4;originale;0;1;1;1;1;[205,310];Gianluca Valenti;[*1r] Molto Illustre Signor, Per  la lettera di Vostra Signoria de hieri ho visto il suo parere circa l’occupar et conservar i posti necessari del quartiero del terzo vecchio, e tutto m’è parso benissimo considerato. Et in quella conformità ho ordinato al commissario general che se ne vada a visitare tutti i detti posti, et – molto ben riconosciutoli – effettui quanto si troverrà convenire. Ho parimente visto quello che mi scrive circa li paesani guastatori, et poiché se ne fugghono della maniera che mi significa, molto a proposito è stato l’haver ordinato a quello scotetto la provisione  del dinaro che appunta in vece di essi guastatori
KBR_ms.III.1635_007;Farnese, Alessandro;Mansfeld, Charles de;Gemert;26/05/1586;KBR;ms.III.1635;0;1;r;4;originale;1;1;1;1;1;[205,310];Gianluca Valenti;[*1r] Molto Illustre Signor, Per la di Vostra Signoria de questa mattina resto avvisato del termine in che restava il ponte, et di quel di più che li è parso farmi intendere intorno a che m’occorre dirle per risposta. Maravigliarmi molto che la soldatesca, et particolarmente la natione spagnola, abbandoni della maniera che mi significa le sue bandiere, poiché la monition non le manca, et con li soccorsi se li va dando la maggior assistentia che si può. Et perché con essi si possa rimediare a simili ’nconvenienti, et per poter tener la gente in maggior disciplina, farà Vostra Signoria intendere a tutti li sergenti maggiori di qualsivoglia natione che ciascun di loro faccia una relation verdadera, firmata di sua mano, di tutti gli soldati che effettivalmente servono di presente in ciascuna compagnia, di lor terzi o reggimenti, et me la portino qui, per poter dar l’ordine che conviene per il soccorso che se li darà subito. Et a tal effetto scrivo a tutti i maggiori di campo, perché proccurino di trattenere li soldati insieme, et non li permettino di sbandarsi. Intanto ho ordinato che alli officiali alemani venuti qui si dia qualche aiuto con che possino rimediar alle necessità della lor gente. Ho parimente dato ordine che ’l mezzo canone di Blerich sia condutto costà quanto prima, et potrà lei ordinar il contador dell’artiglieria che facci dar al commissario general li cavalli necessari per condurlo poiché tanto più presto arrivi. Circa li altri punti non ho che dirli, onde resterò pregando Nostro Signor che conservi et prosperi la molto Illustre persona di Vostra Signoria come più desidera.  Di Gemmer, a’ 26 di maggio 1586. ^Quanto alla mutatione delli quartieri già ho risposto al Signor Conte suo padre, et mandato lettera a lei col Todeschino quanto mi occorreva
KBR_ms.III.987_001;Farnese, Alessandro;sconosciuto;Bruxelles;20/04/1591;KBR;ms.III.987;1;72;r;2;originale;0;0;1;0;1;[204,252];Gianluca Valenti;[72r] Illustrissimo Signore, L’istesse considerationi che han mosso Vostra Signoria a rallegrarsi meco della promotion di Don Duarte mio figlio al cardinalato, congiunte con la parte che le tocca in ogni interesse di questa casa, et con la confidenza che ho nella bontà et amorevolezza sua, sì come mi rendono assicurato della consolatione che mi significa haverne sentito, così ponno certificare Vostra Signoria della gratitudine et obbligo con che è riconosciuto da me questo suo affettuoso offitio, del qual le rendo le gratie che devo, et nel particolare del negotio et per recensioni sue, con la venuta et ritorno da lei del Varisino, non ho che soggiungere a Vostra Signoria se non che in me continua la medesima prontezza et voluntà di impiegarmi in questa et in ogn’altra occasione di satisfattione et servitio dell’Illustrissima sua persona et casa, che Nostro Signore conservi prosperamente.  Di Brusselles, a’ 20 di aprile 1591. Di Vostra Signoria Illustrissima al servitio, Alessandro Farnese
AGR_Audience2152-4_001;Campi, Carlo;sconosciuto;Armentières;26/05/1651;AGR;Audience, 2152/4;0;1;r;2;copia;0;0;1;0;1;[225,330];Gianluca Valenti;[*1r] Illustrissimo Signore, Invio a Vostra Eccellenza il capitan Torquato del mio terzo per participar a Vostra Eccellenza tutto quello passa con li stati di Lilla per il pagamento delle piacchiglie, supplicando humilmente Vostra Eccellenza resti servita darli credito in quello rapresenterà in mio nome a Vostra Eccellenza, alla quale fo humilissime riverenze.  D’Armentiers, le 26 di maggio 1561. Di Vostra Eccellenza humilissimo, devotissimo et obligatissimo servitore, Carlo Campi
AGR_Audience2152-4_002;Campi, Carlo;sconosciuto;Lille;13/02/1654;AGR;Audience, 2152/4;0;1;r;2;copia;0;0;0;0;1;[210,305];Gianluca Valenti;
AGR_Audience2152-4_003;Campi, Carlo;sconosciuto;Lille;31/08/1654;AGR;Audience, 2152/4;0;1;r;2;copia;0;0;1;0;1;[205,310];Gianluca Valenti;[*1r] Serenissimo Signore, Ho parlato questa matina con questo magistrato di questa villa per allogiare le reliquie delli tre terzi italiani, così mi hanno detto che in arrivando li receverano e farano allogiare nelle barache, però che poi tocante a darli qualche subsistenza che loro lo farano mentre Vostra Altezza li ordina farlo per mano comune con li quatro Baliu des Hauts Justiciers, che pertanto Vostra Altezza Serenissima sii servita inviare un ordine a quelli della villa e un altro a questi quatro Baliu delli Stati, affine di mano comune vogliano asistere di tre o quatro piache il giorno questa gente, altrimente non alcanzaremo cosa alcuna. Come si erano inviati per l’assedio di Arras 25 charra del paese, e poi cinquanta altri con monitioni, e come quasi tutti li cavalli sono persi, e che siano licentiati come mi dichano quelli delle altre provencie, e come di gran spesa al paese, così supplico Vostra Altezza Serenissima restar servita volerli rimandare, che se Vostra Altezza Serenissima ne haverà bisognio, quando l’ordinerà se invierano subito la quantità che Vostra Altezza Serenissima desidererà. Con che fine humilmente inchinandomi li faccio profondissime riverenze.  Lilla, l’ultimo agosto 1654. Di Vostra Altezza Serenissima humilissimo, obedientissimo e fedelissimo servitore Carlo Campi
AGR_Audience244-F_001;Farnese, Alessandro;Capizucchi, Camillo;Bruxelles;08/01/1586;AGR;Audience, 244/F;1;9;r;4;originale;0;1;1;1;1;[200,320];Gianluca Valenti;[9r] Illustre Signor, Per la sua dell’ultimo del passato, et per la viva relatione del capitan Giulio Grimaldi, et anco prima per altra via, resto informato a pieno della diligentia et valore con che lei col suo terzo s’è adoperato per l’acquisto del forte contra Nimeghen et nell’espugnatione di quel’altro castello
AGR_Audience257-BIS_001;Farnese, Alessandro;Capizucchi, Mario;Valenciennes;20/11/1591;AGR;Audience, 257/BIS;1;3;r;4;originale;0;1;0;1;1;[215,315];Gianluca Valenti;[3r] Illustre Signor, Mi sono stati gratissimi gli avisi che Vostra Signoria m’ha dati per le sue delli 5 et 15 del passato, et ne la ringratio molto, sì come faccio anchora della amor<ev>olezza solita che per le sudette mi ha mostrata
AGR_Audience257-BIS_002;Farnese, Alessandro;Capizucchi, Camillo;Bruxelles;05/03/1590;AGR;Audience, 257/BIS;1;5;r;4;originale;0;1;0;1;1;[205,320];Gianluca Valenti;[5r] Illustre Signore, Per l’occasione della perdita di Breda et altre che concernono al servitio di Sua Maestà conviene che caminiate subito con tutto ’l terzo verso Anversa o Tornout per il camino che la guiderà Giovanni Dumont che va per questo effetto, et che conduca con lei il bagaglio, poiché potria essere che convenisse star per di qua qualche giorni, et ne havesse di bisogno, che nella campagna non mancherà dove fermarsi. Nel detto Tornout troverà Vostra Signoria il Conte Carlo di Mansfelt o ordine suo di quello che doverà fare, il quale haverà da essequire con la puntualità che sole, et conforme alla confidenza che tengo nell’amorevolezza, prudenza et valor suo. Et di quello che andrà facendo mi darà aviso di mano in mano, che confidando non ci farà mancamento. Resto pregando Nostro Signore che la conservi e prosperi come desidera. Di Brusselles, a’ 5 de marzo 1590. Di Vostra Signoria al servitio, Alessandro Farnese [6v] All’Illustre Signor, il signor Camillo Capizucca, maestro di campo d’infanteria italiana per il Re mio signore
AGR_Audience257-BIS_003;Farnese, Alessandro;Caetani, Enrico;Spa;18/06/1590;AGR;Audience, 257/BIS;1;7;r;4;originale;0;1;1;1;1;[205,320];Gianluca Valenti;[7r] Illustrissimo et Reverendissimo Signor mio Osservandissimo, Poiché ’l maestro di campo Camillo Capizucca, che d’ordine mio se ne viene in assistentia di cotesta santa causa col suo tertio d’italiani et con le forze di più, che snervando le necessarie di qua con non poco incomodo et risico di quante cose nella stagione presente le tengo incaricato, sarà essibitore di questa mia a Vostra Signoria Illustrissima, non occorrerà ch’io m’allarghi in essa se non in baciarle le mani, et dupplicarle quell’affettuoso testimonio della mia continua osservanza in suo servitio ch’esso Capizucca può largamente farle in nome mio, come anco della stima che faccio della sua buona gratia e della sincerità et prontezza con che mi disporrò – sempre che possa – in essecutione de’ suoi comandamenti. Onde, rimettendomi ala relatione di esso intorno a ciò et ala solita strettezza in che mi trovo di danari et gente, resto baciando di nuovo le mani a Vostra Signoria Illustrissima, et pregandole da Nostro Signor ogni felicità et contentezza. Di Spa, a’ XVIII di giugno 1590. Di Vostra Signoria Illustrissima et Reverendissima affettionatissimo servitor, Alessandro Farnese {il legato Caetano} [8v] All’Illustrissimo et Reverendissimo Signore mio Osservandissimo, il signor Enrico Caetano, legato di Sua Santità a Parigi
AGR_Audience257-BIS_004;Farnese, Alessandro;Capizucchi, Camillo;Spa;03/07/1590;AGR;Audience, 257/BIS;1;9;r;4;originale;0;1;1;1;1;[205,320];Gianluca Valenti;[9r] Illustre Signore, In un istesso tempo ho per le mani dell’alfier Ventura ricevue le dua di Vostra Signoria de’ 27 del passato, et per esse et per la sua viva relatione inteso il motivo che per causa d’alcuni tristi et mal intentionati era seguito in cotesto suo terzo, et il pronto rimedio che per la sua diligentia, buona assistentia delli capitani et offitiali magior, et generalmente di tutta quella honorata soldatesca, vi haveva applicato
AGR_Audience257-BIS_005;Farnese, Alessandro;Capizucchi, Camillo;Spa;30/06/1590;AGR;Audience, 257/BIS;1;11;r;4;originale;0;1;1;1;1;[205,320];Gianluca Valenti;[11r] Illustre Signor, Per la di Vostra Signoria de’ 22 del presente resto participato di come, per la mossa del Signor Duca du Mayne, s’incamminava per la via di Landresy come più breve, alla sua volta, con quel di più che li è occorso notificarmi, che tutto sta benissimo. Né lascierà con ogni occasione d’avisarmi di mano in mano del suo progresso, proccurando con tutta la diligentia possibile di condur la sua gente sicuramente et di gionger quanto prima da Sua Eccellenza, et d’intendersi bene con Don Antonio de Cuniga che va per capo della gente spagnola, et nell’occasione di combattere tener la sua ben unita et composta. Et perché conviene in ogni caso che anch’esso Don Antonio habbia una compagnia d’archibugieri a cavallo, li farà consignar una delle due che lei si trova appresso, restando lei con l’altra, tenendo – come dico – buona corrispondentia et intelligentia seco, accioché le cose passino ordinatamente et per li termini convenienti, come so che faranno, mediante questi avertimenti et altre diligentie che lei saprà usare, che fratanto doverrà arrivar il commendator Moreo con li ricapiti più sustantiali che haverà potuto giuntare per rimediare alla necessità della gente, di che aspetto avviso. Sarà, se non, ben fatto di raccorre sotto cotesto terzo tutti li italiani che si troverranno in Francia, dove voglio vedere se ne troverrà qualche quantità, et si darà ordine al commissario che con l’intervento del commendator Moreo faccia assentar quei che si troveranno, et io non lascierò d’haver memoria di lei quando comparirà qualche gente d’Italia, che per hora non m’occorre altro che pregar il Signore che guardi et prosperi l’Illustre sua persona come può.  Di Spa, ali 30 di giugno 1590. Di Vostra Signoria al servitio, Alessandro Farnese {maestro di campo Capizucchi} [12v] All’Illustre Signore, il signor Camillo Capizucchi, maestro di campo d’infanteria italiana per il Re mio Signore
AGR_Audience257-BIS_006;Farnese, Alessandro;Capizucchi, Biagio;Bruxelles;27/10/1587;AGR;Audience, 257/BIS;1;13;r;4;originale;0;1;1;1;1;[205,310];Gianluca Valenti;[13r] Molto Magnifico Signor, Havendo risoluto che così alla gente del votro cargo, come a tutta l’altra che hora di nuovo viene d’Italia, all’entrar del paese si pigli mostra, perché si sappia il numero effettivo d’essa et si possa dar gl’ordini convenienti alla distribution sua, m’è parso, per esser negotio dell’importantia al servitio di Sua Maestà, che si sa dar tal cura a uno degli offitiali di contadoria, et che questo sia quel d’Alonso Carnero che per sua absentia essercita Antonio Carnero suo fratello, di che ho voluto avvertirvi et giuntamente incaricarvi che l’assistiate per la parte vostra, perché tal mostra passi con la rettitudine che conviene, et gli prestiate il credito che al suo cargo et autorità si deve. Et io della vostra amorevolezza confido. Al qual Carnero farete consignar le liste et registri di coteste bandiere, da qualsivoglia persona che li porta a carico in conformità dell’ordine che a tal effetto se ’l porterà, che per altro non è la presente. Nostro Signore vi conservi et guardi. Di Brusselles, a’ 27 d’ottobre 1587. Al piacer vostro, Alessandro Farnese {capitano Biagio Capizucchi} [14v] Al molto Magnifico Signor, il signor Biagio Capizucchi, capitano di cavalli per il Re mio Signore
