Source;Target;Type;Weight
15;16;Undirected;0.314
15;17;Undirected;0.18
15;18;Undirected;0.176
15;19;Undirected;0.117
15;20;Undirected;0.074
15;21;Undirected;0.091
15;22;Undirected;0.131
15;23;Undirected;0.111
15;30;Undirected;0.077
15;31;Undirected;0.06
15;32;Undirected;0.119
15;33;Undirected;0.031
15;35;Undirected;0.088
15;37;Undirected;0.083
15;38;Undirected;0.125
15;39;Undirected;0.106
15;40;Undirected;0.125
15;41;Undirected;0.094
15;42;Undirected;0.094
16;17;Undirected;0.302
16;18;Undirected;0.225
16;19;Undirected;0.105
16;20;Undirected;0.069
16;21;Undirected;0.113
16;22;Undirected;0.096
16;23;Undirected;0.084
16;30;Undirected;0.082
16;31;Undirected;0.065
16;32;Undirected;0.091
16;33;Undirected;0.046
16;35;Undirected;0.106
16;37;Undirected;0.082
16;38;Undirected;0.145
16;39;Undirected;0.132
16;40;Undirected;0.145
16;41;Undirected;0.122
16;42;Undirected;0.139
17;18;Undirected;0.203
17;19;Undirected;0.101
17;20;Undirected;0.061
17;21;Undirected;0.102
17;22;Undirected;0.102
17;23;Undirected;0.079
17;30;Undirected;0.155
17;31;Undirected;0.073
17;32;Undirected;0.112
17;33;Undirected;0.066
17;35;Undirected;0.109
17;37;Undirected;0.126
17;38;Undirected;0.089
17;39;Undirected;0.075
17;40;Undirected;0.089
17;41;Undirected;0.087
17;42;Undirected;0.102
18;19;Undirected;0.075
18;20;Undirected;0.067
18;21;Undirected;0.093
18;22;Undirected;0.094
18;23;Undirected;0.057
18;30;Undirected;0.08
18;31;Undirected;0.054
18;32;Undirected;0.105
18;33;Undirected;0.025
18;35;Undirected;0.063
18;37;Undirected;0.058
18;38;Undirected;0.099
18;39;Undirected;0.078
18;40;Undirected;0.099
18;41;Undirected;0.113
18;42;Undirected;0.082
19;20;Undirected;0.232
19;21;Undirected;0.155
19;22;Undirected;0.195
19;23;Undirected;0.251
19;30;Undirected;0.172
19;31;Undirected;0.126
19;32;Undirected;0.1
19;33;Undirected;0.095
19;35;Undirected;0.098
19;37;Undirected;0.158
19;38;Undirected;0.09
19;39;Undirected;0.099
19;40;Undirected;0.09
19;41;Undirected;0.078
19;42;Undirected;0.078
20;21;Undirected;0.18
20;22;Undirected;0.148
20;23;Undirected;0.175
20;30;Undirected;0.081
20;31;Undirected;0.086
20;32;Undirected;0.068
20;33;Undirected;0.055
20;35;Undirected;0.087
20;37;Undirected;0.079
20;38;Undirected;0.113
20;39;Undirected;0.054
20;40;Undirected;0.113
20;41;Undirected;0.086
20;42;Undirected;0.109
21;22;Undirected;0.178
21;23;Undirected;0.165
21;30;Undirected;0.12
21;31;Undirected;0.067
21;32;Undirected;0.086
21;33;Undirected;0.073
21;35;Undirected;0.136
21;37;Undirected;0.089
21;38;Undirected;0.111
21;39;Undirected;0.069
21;40;Undirected;0.111
21;41;Undirected;0.109
21;42;Undirected;0.099
22;23;Undirected;0.21
22;30;Undirected;0.148
22;31;Undirected;0.113
22;32;Undirected;0.107
22;33;Undirected;0.092
22;35;Undirected;0.119
22;37;Undirected;0.107
22;38;Undirected;0.109
22;39;Undirected;0.113
22;40;Undirected;0.109
22;41;Undirected;0.085
22;42;Undirected;0.098
23;30;Undirected;0.162
23;31;Undirected;0.1
23;32;Undirected;0.089
23;33;Undirected;0.109
23;35;Undirected;0.107
23;37;Undirected;0.125
23;38;Undirected;0.123
23;39;Undirected;0.053
23;40;Undirected;0.123
23;41;Undirected;0.076
23;42;Undirected;0.088
30;31;Undirected;0.343
30;32;Undirected;0.156
30;33;Undirected;0.18
30;35;Undirected;0.185
30;37;Undirected;0.21
30;38;Undirected;0.107
30;39;Undirected;0.159
30;40;Undirected;0.107
30;41;Undirected;0.099
30;42;Undirected;0.125
31;32;Undirected;0.15
31;33;Undirected;0.181
31;35;Undirected;0.114
31;37;Undirected;0.126
31;38;Undirected;0.097
31;39;Undirected;0.098
31;40;Undirected;0.097
31;41;Undirected;0.098
31;42;Undirected;0.113
32;33;Undirected;0.08
32;35;Undirected;0.122
32;37;Undirected;0.123
32;38;Undirected;0.11
32;39;Undirected;0.138
32;40;Undirected;0.11
32;41;Undirected;0.146
32;42;Undirected;0.131
33;35;Undirected;0.101
33;37;Undirected;0.038
33;38;Undirected;0.07
33;39;Undirected;0.045
33;40;Undirected;0.07
33;41;Undirected;0.051
33;42;Undirected;0.069
35;37;Undirected;0.183
35;38;Undirected;0.114
35;39;Undirected;0.1
35;40;Undirected;0.114
35;41;Undirected;0.117
35;42;Undirected;0.15
37;38;Undirected;0.104
37;39;Undirected;0.076
37;40;Undirected;0.104
37;41;Undirected;0.117
37;42;Undirected;0.096
38;39;Undirected;0.233
38;41;Undirected;0.195
38;42;Undirected;0.275
39;40;Undirected;0.233
39;41;Undirected;0.294
39;42;Undirected;0.289
40;41;Undirected;0.195
40;42;Undirected;0.275
41;42;Undirected;0.174
