Source;Target;Type;Weight
id_lettera;KBR_ms.III.1635_001;Undirected;0.0
id_lettera;KBR_ms.III.1635_002;Undirected;0.0
id_lettera;KBR_ms.III.1635_003;Undirected;0.0
id_lettera;KBR_ms.III.1635_004;Undirected;0.0
id_lettera;KBR_ms.III.1635_005;Undirected;0.0
id_lettera;KBR_ms.III.1635_006;Undirected;0.0
id_lettera;KBR_ms.III.1635_007;Undirected;0.0
id_lettera;KBR_ms.III.987_001;Undirected;0.0
id_lettera;AGR_Audience2152-4_001;Undirected;0.0
id_lettera;AGR_Audience2152-4_003;Undirected;0.0
id_lettera;AGR_Audience244-F_001;Undirected;0.0
id_lettera;AGR_Audience257-BIS_001;Undirected;0.0
id_lettera;AGR_Audience257-BIS_002;Undirected;0.0
id_lettera;AGR_Audience257-BIS_003;Undirected;0.0
id_lettera;AGR_Audience257-BIS_004;Undirected;0.0
id_lettera;AGR_Audience257-BIS_005;Undirected;0.0
id_lettera;AGR_Audience257-BIS_006;Undirected;0.0
id_lettera;AGR_Audience257-BIS_007;Undirected;0.0
id_lettera;AGR_Audience257-BIS_008;Undirected;0.0
id_lettera;AGR_Audience257-BIS_009;Undirected;0.0
id_lettera;AGR_Audience257-BIS_010;Undirected;0.0
id_lettera;AGR_Audience257-BIS_011;Undirected;0.0
id_lettera;AGR_Audience257-BIS_012;Undirected;0.0
id_lettera;AGR_Audience257-BIS_014;Undirected;0.0
id_lettera;AGR_Audience257-BIS_015;Undirected;0.0
id_lettera;AGR_Audience257-BIS_016;Undirected;0.0
id_lettera;AGR_Audience257-BIS_017;Undirected;0.0
id_lettera;AGR_Audience257-BIS_018;Undirected;0.0
id_lettera;AGR_Audience257-BIS_019;Undirected;0.0
id_lettera;AGR_Audience257-BIS_020;Undirected;0.0
id_lettera;AGR_Audience257-BIS_021;Undirected;0.0
id_lettera;AGR_Audience257-BIS_022;Undirected;0.0
id_lettera;AGR_Audience257-BIS_023;Undirected;0.0
id_lettera;AGR_Audience257-BIS_024;Undirected;0.0
id_lettera;AGR_Audience257-BIS_025;Undirected;0.0
id_lettera;AGR_Audience257-BIS_026;Undirected;0.0
id_lettera;AGR_Audience257-BIS_027;Undirected;0.0
id_lettera;AGR_Audience257-BIS_028;Undirected;0.0
id_lettera;AGR_Audience1398-6_001;Undirected;0.0
KBR_ms.III.1635_001;KBR_ms.III.1635_002;Undirected;0.064
KBR_ms.III.1635_001;KBR_ms.III.1635_003;Undirected;0.079
KBR_ms.III.1635_001;KBR_ms.III.1635_004;Undirected;0.185
KBR_ms.III.1635_001;KBR_ms.III.1635_005;Undirected;0.087
KBR_ms.III.1635_001;KBR_ms.III.1635_006;Undirected;0.083
KBR_ms.III.1635_001;KBR_ms.III.1635_007;Undirected;0.248
KBR_ms.III.1635_001;KBR_ms.III.987_001;Undirected;0.086
KBR_ms.III.1635_001;AGR_Audience2152-4_001;Undirected;0.037
KBR_ms.III.1635_001;AGR_Audience2152-4_003;Undirected;0.072
KBR_ms.III.1635_001;AGR_Audience244-F_001;Undirected;0.093
KBR_ms.III.1635_001;AGR_Audience257-BIS_001;Undirected;0.062
KBR_ms.III.1635_001;AGR_Audience257-BIS_002;Undirected;0.242
KBR_ms.III.1635_001;AGR_Audience257-BIS_003;Undirected;0.121
