Source;Target;Type;Weight
Ammannati1;Ammannati2;Undirected;0.269
Ammannati1;Ammannati3;Undirected;0.237
Ammannati1;Ammannati4;Undirected;0.431
Ammannati1;Ammannati5;Undirected;0.187
Ammannati1;Michelangelo1;Undirected;0.083
Ammannati1;Michelangelo2;Undirected;0.126
Ammannati1;Michelangelo3;Undirected;0.149
Ammannati1;Michelangelo4;Undirected;0.084
Ammannati1;Michelangelo5;Undirected;0.108
Ammannati1;F.Pepoli1;Undirected;0.116
Ammannati1;F.Pepoli2;Undirected;0.091
Ammannati1;F.Pepoli3;Undirected;0.07
Ammannati1;G.Pepoli1;Undirected;0.117
Ammannati1;G.Pepoli2;Undirected;0.105
Ammannati1;G.Pepoli3;Undirected;0.107
Ammannati1;Vasari1;Undirected;0.107
Ammannati1;Vasari2;Undirected;0.127
Ammannati1;Vasari3;Undirected;0.139
Ammannati1;Vasari4;Undirected;0.123
Ammannati1;Vasari5;Undirected;0.128
Ammannati2;Ammannati3;Undirected;0.287
Ammannati2;Ammannati4;Undirected;0.196
Ammannati2;Ammannati5;Undirected;0.16
Ammannati2;Michelangelo1;Undirected;0.085
Ammannati2;Michelangelo2;Undirected;0.061
Ammannati2;Michelangelo3;Undirected;0.128
Ammannati2;Michelangelo4;Undirected;0.088
Ammannati2;Michelangelo5;Undirected;0.08
Ammannati2;F.Pepoli1;Undirected;0.118
Ammannati2;F.Pepoli2;Undirected;0.112
Ammannati2;F.Pepoli3;Undirected;0.054
Ammannati2;G.Pepoli1;Undirected;0.122
Ammannati2;G.Pepoli2;Undirected;0.146
Ammannati2;G.Pepoli3;Undirected;0.102
Ammannati2;Vasari1;Undirected;0.099
Ammannati2;Vasari2;Undirected;0.091
Ammannati2;Vasari3;Undirected;0.121
Ammannati2;Vasari4;Undirected;0.079
Ammannati2;Vasari5;Undirected;0.086
Ammannati3;Ammannati4;Undirected;0.222
Ammannati3;Ammannati5;Undirected;0.287
Ammannati3;Michelangelo1;Undirected;0.086
Ammannati3;Michelangelo2;Undirected;0.105
Ammannati3;Michelangelo3;Undirected;0.137
Ammannati3;Michelangelo4;Undirected;0.07
Ammannati3;Michelangelo5;Undirected;0.075
Ammannati3;F.Pepoli1;Undirected;0.161
Ammannati3;F.Pepoli2;Undirected;0.104
Ammannati3;F.Pepoli3;Undirected;0.05
Ammannati3;G.Pepoli1;Undirected;0.145
Ammannati3;G.Pepoli2;Undirected;0.103
Ammannati3;G.Pepoli3;Undirected;0.075
Ammannati3;Vasari1;Undirected;0.055
Ammannati3;Vasari2;Undirected;0.054
Ammannati3;Vasari3;Undirected;0.119
Ammannati3;Vasari4;Undirected;0.076
Ammannati3;Vasari5;Undirected;0.136
Ammannati4;Ammannati5;Undirected;0.204
Ammannati4;Michelangelo1;Undirected;0.074
Ammannati4;Michelangelo2;Undirected;0.08
Ammannati4;Michelangelo3;Undirected;0.149
Ammannati4;Michelangelo4;Undirected;0.082
Ammannati4;Michelangelo5;Undirected;0.089
Ammannati4;F.Pepoli1;Undirected;0.099
Ammannati4;F.Pepoli2;Undirected;0.065
Ammannati4;F.Pepoli3;Undirected;0.078
Ammannati4;G.Pepoli1;Undirected;0.074
Ammannati4;G.Pepoli2;Undirected;0.123
Ammannati4;G.Pepoli3;Undirected;0.074
Ammannati4;Vasari1;Undirected;0.098
Ammannati4;Vasari2;Undirected;0.079
Ammannati4;Vasari3;Undirected;0.103
Ammannati4;Vasari4;Undirected;0.102
Ammannati4;Vasari5;Undirected;0.136
Ammannati5;Michelangelo1;Undirected;0.082
Ammannati5;Michelangelo2;Undirected;0.087
Ammannati5;Michelangelo3;Undirected;0.118
Ammannati5;Michelangelo4;Undirected;0.084
Ammannati5;Michelangelo5;Undirected;0.12
Ammannati5;F.Pepoli1;Undirected;0.099
Ammannati5;F.Pepoli2;Undirected;0.101
Ammannati5;F.Pepoli3;Undirected;0.05
Ammannati5;G.Pepoli1;Undirected;0.15
Ammannati5;G.Pepoli2;Undirected;0.12
Ammannati5;G.Pepoli3;Undirected;0.114
Ammannati5;Vasari1;Undirected;0.084
Ammannati5;Vasari2;Undirected;0.076
Ammannati5;Vasari3;Undirected;0.13
Ammannati5;Vasari4;Undirected;0.092
Ammannati5;Vasari5;Undirected;0.141
Michelangelo1;Michelangelo2;Undirected;0.107
Michelangelo1;Michelangelo3;Undirected;0.134
Michelangelo1;Michelangelo4;Undirected;0.116
Michelangelo1;Michelangelo5;Undirected;0.098
Michelangelo1;F.Pepoli1;Undirected;0.059
Michelangelo1;F.Pepoli2;Undirected;0.039
Michelangelo1;F.Pepoli3;Undirected;0.022
