id_lettera;testo
Ammannati1;"Magnifico messer Francesco honorando 
Io ho commissione da sua eccellenza illustrissima di fare venire  quanto sia più presto possibile  e cavalli di marmo per la fontana di piazza  sì come altra volta ne ho scritto a vostra signoria E  per no sia essere possuto fare altro  siamo ridutti sino ad esso  però prego vostra signoria che mandi una barchetta a Carrara che carichi quelo che vi è condotto a Marina  che deve essere circa a  carrate Saragli dato aiuto a caricarlo dal capitano Iacomo Diana  e pagherà quanto farà di bisogno per caricarlo  che tanto mi ha promesso  di gratia  no mancare Io lo dissi a messer Giovani Caccini egli mi dise che io ve ne scrivesse  e che pensava  fra pochi giorni  essere egli in Pisa  e farebbe che sia manderebbe Però prego luno e laltro  a benifitio di sua eccellenza  che sia faccia quello che sia può mandando barchetta  fate che lo barcaiolo porti  legni come bordoni grandi da poter caricare dette marmo E perché lo barcaiolo forse farà dificultà di andare per uno pezo di marmo solo  messer Giovan Vitorio Soderini ve nà molte carrate  e dice che sia carichino  che egli pagherà quanto sia lordinario  e il dovete giudicare da voi altri  ma che vorebe che la medesima barchetta li conduscessi al porto di Signia  e fare tuto uno solo  e così sarebbe vantaggio a mandare el marmo per el cavallo  e in Firenze lo barcaiolo serà paghato Però vostra signoria veda di condure questa facenda a buon fine  che ho di bisognio di deto marmo per cominciare a lavorare  e tirare innanzi tutto la fonte di piaza 
Se vostra signoria ha modo di potere mandare quel marmo che è in Pisa di quel cavallo  di gratia mandatelo  ho per nave oppure scafa Mandatelo  di gratia  e fatene mercato  che tanto sia paggerà Altro no mi occorre A vostra signoria mi racomando se vè messer Giovani  racomandatemi a lui e di voi sono Di Firenze  agli XVIIII di Gennaio  
Di vostra signoria amorevole "
Ammannati2;"Magnifico messer Giovanni honorando 
Perché io nonn ebbi la vostra prima che oggi  he è domenica  per essere a Signa a fare scaricare la colonna  intendo come vostra signoria mi solecita he io faci solecitare le lastre del condurne ad Arno e mandarle per e navicelli Ne sono sula ripa dArno  carrate  e tutavia nemeno sono della grosseza che vostra signoria chiese  ma non gran pezi per inovarsi  e filosi al presente chosì  ma cometono bene  se el lastricatore sarà diligente però fategli avere diligenzia e buona cura
Quanto a navicelli  bisognia che vostra signoria scriva a messer Lorenzo Corbolo tuta volta che verranno non sia mancherà di fargli caricare senza che esi perdino tempo però vostra signoria faccia per altra via e comandar loro che per me  ma  come ho detto  per messer Lorenzo Corboli e scrivete a lui per parte di sua eccellenza illustre Egli manderà per me  e li dirò el bisogno col dargli fretta  contando le dificultà delaque se labasono no sia potrà fare la voglia di sua eccellenza illustrissima 
Vorei un servitio da vostra signoria Andrea Calamecchi da Carra dette una cassa Antonio Piccino da Capraia  che la portassi in Pisa a Salvatore Quararesi  e lo pagò di suo nolo El detto Andrea ha parlato a Salvatore suodeto  e egli gi ha deto che no là riceuta Priego vostra signoria che sia contenta di ritrovare Antonio Piccino sudeto  e vedere quello che nà fatto  che eso lo ritruovi ad ogni modo e ve ne prego  perché mi prieme assai  e desidero che detto Andrea abbia el suo intento per essere cosa mia  e naspeto risposta Vorrei che  vostra signoria  che messer Vincentio Ferini mi inviasse  argani gagliardi e forti quanto prima fussi possibile  perché mi dubito con quegli che io che ò fatto provisione no mi servino a scaricare la colonna  sebene sono e maggiori che sieno di qua Altro no mi occorre A vostra signoria mi raccomando ancora che io mi metta a scarichare non credo che e canapi che io ho sieno per durare la fatica Di Firenze  agli XXV daprile del 
Di vostra signoria amorevole "
Ammannati3;"Magnifico messer Giovanni honorando 
Io ho auto la vostra letera degli dì  del presente Quanto alla barchetta carica degli due peze di colonna grande di granito  io mandai subito a Signa tuti li ordigni per scaricarla  e de migliori huomini per tale efette che io avessi a Pitti  e àno scarico e  se no fuse che io ero nel leto un poco indisposto  sarei andato io a scaricare  basta che per conto di detta scaricatura lo barcaiolo no sà da lamentare  perché sè fatto presto quanto sia poteva 
E  perché vostra signoria mi scrive che io ne facca prezo del nolo delavergli condotto dette due pezi da Pisa a Signa  e tanto sia contenterebbe lui  io dico che non voglio risolvere  perché no vorei fare errore  ma dirò bene che questi pezi non sono da gudicargli per ordinari  per molte cause prima  rovinono le barche vogliono tempi magiori a scaricare e caricare insoma  facende che se ne fa sempre male Dico che  a mio parere  che uno scudo per migliaio sarebbe poco a mantenere el povero padrone della scafa Egli mi ha domandato  scudi di moneta co li  scudi che egli ha auti da vostra signoria  questo mi pare troppo  perché dicono che e pezi sono circa a  migliaia  però intorno a quaranta scudi sia ha suo pregio  piutosto qualche cosa manco Vostra signoria laconci lei  e quello che ella li ha dare li dia subito  che sarà più utile al barchaiuolo E  perdendo poco tempo a riscuotere  vi può fare più piacere  come sa vostra signoria 
Vostra signoria mi scrive che io li dica a che conto avere a metere tale spesa credo che vadia a conto della tesaureria di Firenze  cioè messer Agniolo Bifoli  che di lì ho auti e danari per spesa della colonna Altro no ve ne saperrei dire  e senza fine mi vi racomando Di Firenze  agli XVII di dicembre  
Di vostra signoria afetionatisimo "
Ammannati4;"Magnifico messer Francesco honorando 
Io ho fatto intendere a messer Giovani Caccini chome sua eccellenza illustrissima m’à commissionato che io faccia intendergli come sia mandi una barchetta quanto prima a Seraveza per condurre e marmi per e cavalli per la fonte di piazza  e che io soleciti el tutto così lho mandato a messer Giovanni Egli ha detto che ve ne scriverà  e perché egli ha assai faccende  ve  lho voluto ricordare io  e pregarvi  quanto più presto potete  mandare una barchetta a Seraveza  cioè alla spiaggia del mare  che lì sono posti e marmi de’ due cavalli e altri misti Dite allo barcaiolo che faccia motto a messer Mateo  Inghilani  ho a Rafaello scalpellino  che di subito lo farà caricare  e io subito manderò in Pisa e danari per e noli  oppure lo pagherò a Firenze se egli li porta al porto a Signia che l’aque fossero alte E se vostra signoria mi manda quel pezo di marmo ch’è in Pisa per quel cavallo  mi farete servitio  che forse prima che sia rompi le strade sia potrà condurre co’ carri in Firenze E tutto pagherò  sì che io possa adempire la voglia di sua eccellenza illustre E a voi mi racomando Di Firenze  agli  d’otobre 
Di vostra signoria amorevole amico "
Ammannati5;"Magnifico messer Francesco honorando 
Per le mani di messer Giovani Caccini ho auto una vostra In risposta dessa  dico che ho riceuto laltra co le  migliaia di misti  e pagato i noli  e ancora e cavalli  e pagato i noli ancora di quegli Quelo che ho detto a messer Giovanni dirò a voi che questi barcaiuli e navicellai sono avezi male  perché vengono qua e strilono tanto che  vinti dal fastidio  sia dà loro più che non meritano  e sempre vanno allo insù talmente che non vogliono poi calare  e dicono laltra mi desti tanto È poi peggio che sia vengono a lamentare a voi a Pisa  per scusarsi e mostrare di non volere servire  taleché tutti noi ministri siamo posti in croce da tale canaglie però sarei di parere che  quando voi sentite che uno sia lamenta a torto  lo fareti gastigare a misure di carboni per esemplo degli altri Questi ànno auto più de uno scudo del migliaio  cosa certo ingorda e mal fatta  e  sio none avevo aviso di trentasei migliaia  no li davo mai tanto  però dite loro vilania Messer Giovani ha detto di volere far fare una stadera per pesare che mi piace assai  dal che noi ne staremo bene e senza biasimo Francesco di ser Iacomo  credo che oggi abbia rimesso e danari  cioè li  scudi di moneta  e così li farà sempre però vi prego che agevoliate e negoti quando vi aviseremo che servino per loro eccellenze  e così farò io se voi mi comanderete Altro no dirò A vostra eccellenza senza fine mi racomando Di Firenze  agli XXII di Gennaio  
Di vostra signoria amorevole amico "
Michelangelo1;"Yesus A dì II di luglio  
Magnifico Lorenzo etc  solo per avisarvi chome sabato passato 
giugnemo a·ssalvamento  e·ssubito andamo a vicitare el chardinale di San Giorgio e·lli presentai la vostra lettera Parmi mi 
vedessi volentieri e volle inchontinente chio andasse a vedere certe 
figure  dove i ochupai tutto quello giorno  e però quello giorno 
non detti laltre vostre lettere Dipoi domenicha el Chardinale 
venne nella chasa nuova e·ffecemi domandare andai da·llui e me 
domandò quello mi parea delle chose che avea viste Intorno a 
questo li dissi quello mi parea  e certo mi pare ci sia molte belle 
chose Dipoi el Chardinale mi domandò se mi bastava lanimo di 
fare qualchosa di bello Risposi chio non farei sì gran chose  ma che 
e vedrebe quello che farei Abiamo chonperato uno pezo di marmo duna figura del naturale  e·llunedì chomincerò a·llavorare 
Dipoi lunedì passato presentai laltre vostre lettere a·pPagolo 
Rucellai  el quale mi proferse que danari mi bisogniassi  e l simile que de Chavalchanti Dipoi detti la lettera a Baldassarre  e 
domandagli e el banbino  e chio li renderia e sua danari Lui 
mi rispose molto aspramente e che ne fare prima cento pezi  e 
che e banbino lui lavea chonperato e era suo  e che avea lettere
chome egli avea sodisfatto a chi gniene mandò  e non dubitava 
davello a·rrendere e·mmolto sia lamentò di voi  dicendo che 
avete sparlato di lui Èccisi messo qualchuno de nostri Fiorentini 
per achordarci  e·nnon ànno fatto niente ora fo chonto fare per 
via del Chardinale  che chosì sono chonsigliato da Baldassarre 
Balducci Di quello seghuirà  voi intenderete Non altro per questa A·vvoi mi rachomando Dio di male vi guardi 
Michelagniolo in Roma 
Sandro di Botticello in Firenze"
Michelangelo2;"Al nome di Dio A dì  dagosto  
Karissimo padre e cet  avisovi come venerdì giunse qua Bonarroto e io  come lo sepi  andai allosteria a trovallo e·llui mi raguagliò a·bboca come voi la fate  e diciemi che Consiglio merciaio 
vi dà una gran noia e che non sia vuole acordare i modo nessuno  
e che vi vuole far pigliare Io vi dico che voi vegiate dacordalla e 
di dagli qualche ducato inanzi e quello che voi rimanete dachordo 
di dagli  mandatemelo a dire  e io ve li manderò  se voi no li 
avete Benché io nabi pochi  come io vò detto  io mingiegnierò 
dacattargli  acciò che non sabbi a pigliare danari del Monte  
come mi dicie Bonarroto Non vi maravigliate che io vabbi scritto 
alle volte così stizosamente  ché io ò alle volte di gran passione  per 
molte cagione che avengono a chi è fuor di casa 
Io tolsi a·ffare una figura da Piero de Medici e comperai il 
marmo poi nollò mai cominciata  perché non mi à·ffatto quello 
mi promesse per la qual cosa io mi sto da me e·ffo una figura per 
mio piaciere E comperai un pezo di marmo ducati cinque  e non 
fu buono ebi buttati via que danari Poi ne ricomperai un altro 
pezo  altri cinque ducati  e questo lavoro per mio piaciere sì che 
voi dovete credere che anchio spendo e ò delle fatiche Pure  quello mi chiederete io ve lo manderò  sio dovessi vendermi per 
istiavo
Buonarroto è giunto a·ssalvamento e·ttornasi allosteria  e ha una 
camera e sta bene e non li mancherà mai nulla  quante vorrà 
stare Io non ò comodità di tenello mecho  perché io sto in casa 
altri  ma basta chio non li lascierò mancar nulla Sano così spero 
di voi 
Michelagniolo in Roma 
Domino Lodovicho Buonarroti in Firenze
"
Michelangelo3;"Padre reverendissimo  i ò inteso per una vostra chome lo spedalingo non è mai tornato di fuora  per la qual cosa non avete potuto 
venire alla conchluxione del podere chome desideravi io nò avuta 
passione anchio  perché stimavo voi lavessi oramai tolto Dubito 
che·llo spedalingo non sia andato fuora a arte  per non savere a 
spodestare di quella entrata e per tenere e danari e el podere 
Avisatemi  perché  se così fussi  li caverei e mia danari di mano 
e·cterregli altrove 
De chasi mia di qua io ne farei bene  se e mia marmi venissino 
ma in questa parte mi pare avere grandissima disgratia  che mai  
poi che io ci sono  sia stato dua dì di buon tempo Sabacté a venirne più giorni fa una barcha che ebe grandissima ventura a non 
chapitar male  perché era contratempo e poi che io li ebbi 
scarichi  subito venne el fiume grosso e ricopersegli i modo che 
anchora non ò potuto cominciare a far niente o pure do parole 
al Papa e·ctengolo im buona speranza  perché e non sia crucci 
meco  sperando che l tempo sachonci chio cominci presto a·llavorare  che Dio il voglia 
Pregovi che voi pigliate tucti quegli disegni  cioè tucte quelle 
carte che io messi in quel sacho che io vi dissi  e che voi ne facciate 
un fardellecto e mandatemelo per uno vecturale Ma vedete 
dachonciarlo bene per amor dellaqua  e abiate cura  quando 
lachonciate  che e no ne vadi male una minima carta  e·rrachomandatela al vecturale  perché vè cierte cose che importano assai e scrivetemi per chi voi me le mandate  e quello che io li ò 
a dare 
Di Michele  io li scrissi che mectessi quella cassa in luogo sicuro  al coperto  e poi subito venissi qua a·rRoma  e che non manchassi per chosa nessuna Non so quello sarà facto Vi prego che 
vo gniene ramentiate  e ancora prego voi che voi duriate un poco 
di faticha in queste dua cose  cioè in fare riporre quella cassa al coperto  in luogo sicuro laltra è quella Nostra Donna di marmo 
similmente vorrei la faciessi portare chostì in casa e non la lasiassi 
vedere a persona Io non vi mando e danari per queste dua cose  
perché stimo che sia pichola cosa e voi  se li dovessi achactare  
fate di farlo  perché presto  se e mia marmi giungono  vi manderò 
danari per questo e per voi 
Io vi scrissi che voi domandassi Bonifatio a chi e faceva pagare 
a·lLucha quegli cinquanta ducati che io mando a Charrara a 
Macteo di Chucherello  e che voi iscrivessi el nome di cholui che 
gli ha a pagare in sulla lectera che io vi mandai aperta  e che voi la 
mandassi a Charrara al decto Macteo  acciò che e sapessi a chi egli 
aveva a andare in Lucha pe e decti danari Chredo larete facto 
prego lo scriviate ancora a me a chi Bonifatio li fa pagare in Lucha  
acciò che io sappia el nome e possa scrivere a·mMacteo a Charrara 
a chi egli ha a ndare in Lucha pe e decti danari Non altro Non 
mi mandate altro che quello che io vi scrivo  e e panni mia e·lle 
camicie li dono a voi e a Giovan Simone Pregate Dio che le mie 
cose vadino bene  e vedete di spendere a ogni modo per insino in 
mille de mia ducati in terre  come siàno rimasti 
A dì trentuno di giennaio mille cinque ciento sei 
Vostro Michelagniolo in Roma 
Lodovicho  io vi prego che voi mandiate questa lectera che è fra 
queste che io vi mando  che va a Piero dArgiento  e prego che voi 
facciate che e·llabbi Chredo che per la via deglIngiesuati landrebbe bene  perché spesso vi suole andare di que frati Io ve la 
rachomando 
A·lLodovicho di Lionardo di Buonarrota Simoni in Firenze 
Data nella Dogana di Fiorenza"
Michelangelo4;"Giuliano  io ò inteso per una vostra chome l Papa ha vuto a·mmale la mia partita  e chome sua Santità è per dipoxitare e fare 
quanto fumo dachordo e che io torni e non dubiti di cosa nessuna 
Della partita mia  egli è vero che io udi dire el Sabato Santo al 
Papa  parlando chon uno gioelliere  a·ctavola  e chol maestro 
delle cerimonie  che non voleva spendere più uno baiocho né in 
pietre pichole né in grosse ondio ne presi amiratione assai pure  
inanzi che io mi partissi  li domandai parte del bixognio mio per 
seguire lopera La sua Santità mi rispose che io tornassi lunedì e 
vi tornai lunedì e martedì e mercholedì e giovedì  chome quella 
vide Allultimo  el venerdì mactina io fui mandato fuora  cioè 
cacciato via e quel tale che me ne mandò  disse che mi chonoscieva ma che aveva tal chommissione 
Ondio  avendo udito il decto sabato le decte parole  e veggiendo 
poi lefecto  ne venni in gran disperatione Ma questo solo non fu 
cagione interamente della mia partita  ma fu pure altra cosa  la 
quale non voglio scrivere basta chella mi fe pensare  sia stavo 
a·rRoma  che fussi facta prima la sepultura mia che quella del 
Papa E questa fu chagione della mia partita sùbita 
Ora voi mi scrivete da parte del Papa  e così al Papa legierete
questa e intenda la sua Santità comio sono disposto più che io 
fussi mai a·sseguire lopera e se quella vole fare la sepultura a ogni 
modo  non li debbe dare noia dovio me la facci  pur che in capo 
de cinque anni che noi siàno dachordo la sia murata in Santo 
Pietro  dove a quella piacerà  e sia cosa bella chomio ò promesso 
che·sson cierto  se·ssi fa  non ha la par cosa tucto el mondo 
Ora  se vuole la sua Santità seguitare  mectami il decto dipoxito 
qua in Fiorenza  dovio li scriverrò  e io ò a ordine a Charrara molti marmi  e quali farò venire qui  e chosì farò venire cotesti che 
io ò chostà Benché mi fussi danno assai  non me ne curerei  per 
fare tale opera qua e manderei di mano in mano le cose facte  i 
modo che sua Santità ne piglierebe piacere come se io stessi a·rRoma  o più  perché vedrebbe le cose facte sanza averne altro fastidio E de decti danari e della decta opera mobrigherrò come sua 
Santità vole e darogli quella sicurtà che domanderà qua in Fiorenza sia che sia vole  che io lassicurerò a ogni modo in tucto 
Fiorenze Basta Anchora vò a dire questo che la decta opera 
non è possibile la possa per questo prezo fare a·rRoma la qual cosa potrò fare qua per molte comodità che ci sono  le quale non 
sono costà  e ancora farò meglio e chon più amore  perché non 
arò a pensare a tante cose Per tanto  Giuliano mio carissimo  vi 
prego mi facciate la risposta  e presto Non altro 
A dì dua di maggio  
Vostro Michelagniolo scultore in Fiorenze 
A maestro Giuliano da Sanghallo fiorentino  architectore del 
Papa in Roma
"
Michelangelo5;"Buonarroto  io ò·rricievuto oggi  questo di diciannove di dicembre  una tua per la quale mi rachomandi Piero Orlandini e che io 
lo serva di quello che lui mi domanda Sappi che·llui mi schrive 
che io li facci fare una lama duna dagha  e che io facci che·lla 
sia una cosa mirabile Per tanto io non so chomio me lo potrò 
servire presto e bene luna sia è  perché e non è mia professione  laltra  perché io non o tempo da potervi actendere Pure 
mingiegnerò infra uno mese che e sia servito el meglio che io 
saperò 
De facti vostri  e massimo di Giovan Simone  o inteso il tucto 
Piacemi che·llui sia ripari a boctega tua e che egli abbi voglia di far 
bene  perché io ò voglia daiutar lui chome voi altri e·sse Dio 
maiuta  come ha facto sempre  io ispero in questa quaresima avere 
facto quello che io ò a fare qua  e tornerò chostà e farò a ogni modo 
quello che io vò promesso De danari che tu mi scrivi che Giovan Simone vole porre in sur una boctega  a me parrebbe che glindugiassi ancora quatro mesi e fare lo schoppio e l baleno a un tracto So che tu mintendi  e basta Digli da mia parte che actenda a 
far bene  e·sse pure e volessi e danari che tu·mmi scrivi  bisognierebbe torre di cotesti chostà  perché di qua non ò ancora da mandarli  perché ò picholo prezo di quello che io fo  e anche è cosa 
dubbia  e potrebbemi avenire cosa che mi disfarebe del mondo 
Per tanto vi conforto a star patienti questi pochi mesi  tanto che io 
torni costà
De casi del venire qua Giovan Simone  non ne lo consiglio anchora  perché son qua inn·una cactiva stanza  e ò comperato uno 
lecto solo  nel quale stiàno quatro persone  e non arei el modo accectarlo come sia richiede Ma·sse·llui ci vuole pure venire  aspecti 
che io abbi gictata la figura che io fo  e·rrimanderonne Lapo e·lLodovicho che maiutano  e manderogli un cavallo acciò che e venga  
e non comuna bestia Non altro Pregate Iddio per me e che le 
cose vadino bene 
Michelagniolo scultore in Bolognia 
A Buonarroto di Lodovicho di Buonarrota Simoni in Firenze 
Data in boctega di Lorenzo Strozi  allArte della Lana  im Porta 
Rossa
"
