id_lettera;testo
KBR_ms.III.1635_001;r Molto Illustre Signor  avendo inteso che ’l forte di Blerich  dove sta il capitano Bernabò Barboni  resta con così poca gente  senza polvere e senza viveri se non di giorno in giorno  seben mi persuado che questo non possa essere  e che Vostra Signoria – poiché sa quello che conviene  e se li è ricordato – avrà rimediato a tutto  non posso perciò lasciare di avvertirla che  sì per la reputazione come per tutto quello che può succedere  non è conveniente che stia della maniera che mi dicono Onde la prego a volersi informare bene di tutto quello che occorre in questo particolare e  stando così  dar ordine così espresso  che non ci sia mancamento perché i soldati vi possano vivere e abbiano qualche munizione di riserva e la polvere necessaria Che  per il medesimo effetto  scrivo anche al cavaliere Cigogna che assista e faccia quello che conviene  e confido che quando questo non sia possa fare  avvisandomelo lei  più volentieri darò ordine che s’abbandoni e smantelli che correr risico di ricever qualche danno  con diminuzione della reputazione E aspettando risposta  resto pregando Nostro Signor che conservi Vostra Signoria come può Di Brusselles  a’  di marzo  Di Vostra Signoria al servitio  Alessandro Farnese al Conte Carlo v Al molto Illustre Signore  il signor Conte Carlo di Mansfelt
KBR_ms.III.1635_002;r Molto Illustre Signor  Trovomi le due lettere di Vostra Signoria de’   e dipoi l’altra de’  portatami da Giovan Francesco
KBR_ms.III.1635_003;r Dupplicato Hieri sul tardi ricevei la di Vostra Signoria de’  scritta la sera  e questa notte l’altra in cifra la mattina  e sento quanto può persuadersi il fastidio e travaglio in ch’ela sia trova per le cause che appunta E sebene Trincuart mi dice haver mandato huomini e ordini bastanti perché non manchi il pan quotidiano  li ho ordinato che parta lui stesso
KBR_ms.III.1635_004;r Molto Illustre Signor  Hieri  con Don Alonso de Leiva  scrissi a Vostra Signoria e le mandai a conferire tutto quello che mi occorreva Sulla sera poi mi comparvero lettere di Monsignor de Haultepenne  nelle quali mi avvisa che sia levava dall’assedio di Nuys  e sarebbe a Grave domani Col qual avviso già havevo i stivali in piede e caricato le bagaglie di mia casa per andar questa sera a Malines e proseguir inanzi il mio viaggio  ma – essendomi capitato dua hore fa l’altra di Vostra Signoria de’  con nuova della retirata del nemico – ho soprasseduto  pensando d’attender con la diligentia che conviene alle preparationi del dissegno che sia ha per incamminarle tanto prima E così ho dato anche ordine che la gente d’Anversa soprasseda la sua partenza perché non se n’essendo tanto bisogno potrà servir di scolta alle presente cose Fratanto ringratio Vostra Signoria della diligentia che ha usato in avvisarmi di quanto passa  e m’occorre solo ricordare che proccuri di conservare i posti  e evitar  per quanto sia possibile  che non entri più vettovaglie né genti nella piazza La venuta di Monsignor de Haultepenne è stata molto a pproposito  e se non ci saran cose che oblighino in contrario  convenirà che se ne stia con la sua gente dall’altra parte della riviera  perché doverrà haverci più forma di sustento  come per non finir di distruggere totalmente la parte di qua  e ci difficulti più i nostri dissegni  e poiché avrà cavalleria assai  potrà il commissario general retirarsene con le compagnie che erano andato seco  ai lor presidi ordinari  dove staranno più alla mano per le scolte e per le cose che di qua potessero occorre E con tal occasione potrà rimandar in qua li cavalli dell’antiglieria  e aspettando avviso di quel che di mano in mano succederà non lascierò di dar tutta la fretta possibile alla mia partenza E con questa fine prego Nostro Signore guardi Vostra Signoria come può  Di Brusselles  a’  di maggio  Al servitio devotissimo  Alessandro Farnese al Conte Carlo v Al molto Illustre Signor  il signor Conte Carlo di Mansfelt receue ha Reech le  de mai ’
KBR_ms.III.1635_005;r Molto Illustre Signor  Col ritorno di Don Alonso de Leiva  venuta di Giovan Francesco  e la lettera di Vostra Signoria de’   resto avvisato di tutto quello che passa E poiché sarà arrivato l’officiale del thessoro con i denari  è Trincuart con forma del sustento della gente
KBR_ms.III.1635_006;r Molto Illustre Signor  Per  la lettera di Vostra Signoria de hieri ho visto il suo parere circa l’occupar e conservar i posti necessari del quartiero del terzo vecchio  e tutto m’è parso benissimo considerato E in quella conformità ho ordinato al commissario general che se ne vada a visitare tutti i detti posti  e – molto ben riconosciutoli – effettui quanto sia troverrà convenire Ho parimente visto quello che mi scrive circa li paesani guastatori  e poiché se ne fugghono della maniera che mi significa  molto a proposito è stato l’haver ordinato a quello scotetto la provisione  del dinaro che appunta in vece di essi guastatori
KBR_ms.III.1635_007;r Molto Illustre Signor  Per la di Vostra Signoria de questa mattina resto avvisato del termine in che restava il ponte  e di quel di più che li è parso farmi intendere intorno a che m’occorre dirle per risposta Maravigliarmi molto che la soldatesca  e particolarmente la natione spagnola  abbandoni della maniera che mi significa le sue bandiere  poiché la monition non le manca  e con li soccorsi se li va dando la maggior assistentia che sia può E perché con essi sia possa rimediare a simili ’nconvenienti  e per poter tener la gente in maggior disciplina  farà Vostra Signoria intendere a tutti li sergenti maggiori di qualsivoglia natione che ciascun di loro faccia una relation verdadera  firmata di sua mano  di tutti li soldati che effettivalmente servono di presente in ciascuna compagnia  di lor terzi o reggimenti  e me la portino qui  per poter dar l’ordine che conviene per il soccorso che se li darà subito E a tal effetto scrivo a tutti i maggiori di campo  perché proccurino di trattenere li soldati insieme  e non li permettino di sbandarsi Intanto ho ordinato che alli officiali alemani venuti qui sia dia qualche aiuto con che possano rimediar alle necessità della lor gente Ho parimente dato ordine che ’l mezzo canone di Blerich sia condutto costà quanto prima  e potrà lei ordinar il contador dell’artiglieria che facci dar al commissario general li cavalli necessari per condurlo poiché tanto più presto arrivi Circa li altri punti non ho che dirli  quindi resterò pregando Nostro Signor che conservi e prosperi la molto Illustre persona di Vostra Signoria come più desidera  Di Gemmer  a’  di maggio  Quanto alla mutatione delli quartieri già ho risposto al Signor Conte suo padre  e mandato lettera a lei col Todeschino quanto mi occorreva
KBR_ms.III.987_001;r Illustrissimo Signore  L’istesse considerationi che han mosso Vostra Signoria a rallegrarsi meco della promotion di Don Duarte mio figlio al cardinalato  congiunte con la parte che le tocca in ogni interesse di questa casa  e con la confidenza che ho nella bontà e amorevolezza sua  sì come mi rendono assicurato della consolatione che mi significa haverne sentito  così ponno certificare Vostra Signoria della gratitudine e obbligo con che è riconosciuto da me questo suo affettuoso offitio  del qual le rendo le gratie che devo  e nel particolare del negotio e per recensioni sue  con la venuta e ritorno da lei del Varisino  non ho che soggiungere a Vostra Signoria se non che in me continua la medesima prontezza e voluntà di impiegarmi in questa e in ogn’altra occasione di satisfattione e servitio dell’Illustrissima sua persona e casa  che Nostro Signore conservi prosperamente  Di Brusselles  a’  di aprile  Di Vostra Signoria Illustrissima al servitio  Alessandro Farnese
AGR_Audience2152-4_001;r Illustrissimo Signore  Invio a Vostra Eccellenza il capitano Torquato del mio terzo per participar a Vostra Eccellenza tutto quello passa con li stati di Lilla per il pagamento delle piacchiglie  supplicando humilmente Vostra Eccellenza resti servita darli credito in quello rapresenterà in mio nome a Vostra Eccellenza  alla quale fo humilissime riverenze  D’Armentiers  le  di maggio  Di Vostra Eccellenza humilissimo  devotissimo e obligatissimo servitore  Carlo Campi
AGR_Audience2152-4_003;r Serenissimo Signore  Ho parlato questa matina con questo magistrato di questa villa per allogiare le reliquie delli tre terzi italiani  così mi hanno detto che in arrivando li receverano e farano allogiare nelle barache  però che poi tocante a darli qualche subsistenza che loro lo farano mentre Vostra Altezza li ordina farlo per mano comune con li quatro Baliu des Hauts Justiciers  che pertanto Vostra Altezza Serenissima sii servita inviare un ordine a quelli della villa e un altro a questi quatro Baliu delli Stati  affine di mano comune vogliano asistere di tre o quatro piache il giorno questa gente  altrimente non alcanzaremo cosa alcuna Come sia erano inviati per l’assedio di Arras  charra del paese  e poi cinquanta altri con monitioni  e come quasi tutti li cavalli sono persi  e che siano licentiati come mi dichano quelli delle altre provencie  e come di gran spesa al paese  così supplico Vostra Altezza Serenissima restar servita volerli rimandare  che se Vostra Altezza Serenissima ne avrà bisognio  quando l’ordinerà se invierano subito la quantità che Vostra Altezza Serenissima desidererà Con che fine humilmente inchinandomi li faccio profondissime riverenze  Lilla  l’ultimo agosto  Di Vostra Altezza Serenissima humilissimo  obedientissimo e fedelissimo servitore Carlo Campi
