id_lettera;similar_ID;similarity_value
id_lettera;['id_lettera'];[1.0]
1;['1'];[1.0]
2;['2' '3'];[1.0, 0.474]
3;['2' '3' '4'];[0.474, 1.0, 0.171]
4;['3' '4' '5' '7' '26' '28'];[0.171, 1.0, 0.188, 0.166, 0.188, 0.158]
5;['4' '5' '6' '7' '8' '9' '24' '25' '26' '27' '28' '29'];[0.188, 1.0, 0.288, 0.324, 0.327, 0.164, 0.266, 0.252, 1.0, 0.288, 0.323, 0.262]
6;['5' '6' '7' '8' '9' '10' '16' '24' '25' '26' '27' '28' '29'];[0.288, 1.0, 0.336, 0.277, 0.193, 0.177, 0.158, 0.18, 0.162, 0.288, 1.0, 0.293, 0.21]
7;['4' '5' '6' '7' '8' '25' '26' '27' '28' '29'];[0.166, 0.324, 0.336, 1.0, 0.276, 0.175, 0.324, 0.336, 0.275, 0.25]
8;['5' '6' '7' '8' '9' '24' '25' '26' '27' '28' '29'];[0.327, 0.277, 0.276, 1.0, 0.17, 0.157, 0.177, 0.327, 0.277, 0.97, 0.203]
9;['5' '6' '8' '9' '10' '11' '13' '16' '19' '25' '26' '27' '28'];[0.164, 0.193, 0.17, 1.0, 0.205, 0.151, 0.162, 0.169, 0.158, 0.163, 0.164, 0.193, 0.165]
10;['6' '9' '10' '11' '12' '24' '27'];[0.177, 0.205, 1.0, 0.378, 0.261, 0.158, 0.177]
11;['9' '10' '11' '12'];[0.151, 0.378, 1.0, 0.318]
12;['10' '11' '12'];[0.261, 0.318, 1.0]
13;['9' '13'];[0.162, 1.0]
14;['14'];[1.0]
15;['15' '16' '17' '18'];[1.0, 0.241, 0.177, 0.197]
16;['6' '9' '15' '16' '17' '18' '27'];[0.158, 0.169, 0.241, 1.0, 0.27, 0.23, 0.158]
17;['15' '16' '17' '18' '30'];[0.177, 0.27, 1.0, 0.204, 0.16]
18;['15' '16' '17' '18'];[0.197, 0.23, 0.204, 1.0]
19;['9' '19' '20' '21' '22' '23' '25' '30'];[0.158, 1.0, 0.227, 0.151, 0.199, 0.259, 0.212, 0.166]
20;['19' '20' '21' '23'];[0.227, 1.0, 0.183, 0.189]
21;['19' '20' '21' '22' '23'];[0.151, 0.183, 1.0, 0.192, 0.164]
22;['19' '21' '22' '23'];[0.199, 0.192, 1.0, 0.212]
23;['19' '20' '21' '22' '23'];[0.259, 0.189, 0.164, 0.212, 1.0]
24;['5' '6' '8' '10' '24' '25' '26' '27' '28' '29'];[0.266, 0.18, 0.157, 0.158, 1.0, 0.408, 0.266, 0.18, 0.156, 0.313]
25;['5' '6' '7' '8' '9' '19' '24' '25' '26' '27' '28' '29'];[0.252, 0.162, 0.175, 0.177, 0.163, 0.212, 0.408, 1.0, 0.252, 0.162, 0.182, 0.313]
26;['4' '5' '6' '7' '8' '9' '24' '25' '26' '27' '28' '29'];[0.188, 1.0, 0.288, 0.324, 0.327, 0.164, 0.266, 0.252, 1.0, 0.288, 0.323, 0.262]
27;['5' '6' '7' '8' '9' '10' '16' '24' '25' '26' '27' '28' '29'];[0.288, 1.0, 0.336, 0.277, 0.193, 0.177, 0.158, 0.18, 0.162, 0.288, 1.0, 0.293, 0.21]
28;['4' '5' '6' '7' '8' '9' '24' '25' '26' '27' '28' '29'];[0.158, 0.323, 0.293, 0.275, 0.97, 0.165, 0.156, 0.182, 0.323, 0.293, 1.0, 0.197]
29;['5' '6' '7' '8' '24' '25' '26' '27' '28' '29'];[0.262, 0.21, 0.25, 0.203, 0.313, 0.313, 0.262, 0.21, 0.197, 1.0]
30;['17' '19' '30' '31' '32' '33' '34' '35' '36' '37'];[0.16, 0.166, 1.0, 0.36, 0.231, 0.177, 0.199, 0.22, 0.19, 0.266]
31;['30' '31' '32' '33' '34' '35' '36' '37'];[0.36, 1.0, 0.184, 0.189, 0.166, 0.175, 0.162, 0.177]
32;['30' '31' '32' '35' '37'];[0.231, 0.184, 1.0, 0.164, 0.188]
33;['30' '31' '33' '34'];[0.177, 0.189, 1.0, 0.153]
34;['30' '31' '33' '34' '36'];[0.199, 0.166, 0.153, 1.0, 0.343]
35;['30' '31' '32' '35' '37'];[0.22, 0.175, 0.164, 1.0, 0.229]
36;['30' '31' '34' '36'];[0.19, 0.162, 0.343, 1.0]
37;['30' '31' '32' '35' '37'];[0.266, 0.177, 0.188, 0.229, 1.0]
