id_lettera;similar_ID;similarity_value
id_lettera;['id_lettera'];[1.0]
KBR_ms.III.1635_001;['KBR_ms.III.1635_001', 'KBR_ms.III.1635_004', 'KBR_ms.III.1635_007', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_018'];[1.0, 0.185, 0.248, 0.242, 0.177, 0.186, 0.213, 0.155, 0.182, 0.164]
KBR_ms.III.1635_002;['KBR_ms.III.1635_002', 'KBR_ms.III.1635_004', 'KBR_ms.III.1635_005'];[1.0, 0.16, 0.311]
KBR_ms.III.1635_003;['KBR_ms.III.1635_003'];[1.0]
KBR_ms.III.1635_004;['KBR_ms.III.1635_001', 'KBR_ms.III.1635_002', 'KBR_ms.III.1635_004', 'KBR_ms.III.1635_005', 'KBR_ms.III.1635_007', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.185, 0.16, 1.0, 0.234, 0.187, 0.191, 0.231, 0.173, 0.214, 0.182, 0.172, 0.182, 0.207, 0.177]
KBR_ms.III.1635_005;['KBR_ms.III.1635_002', 'KBR_ms.III.1635_004', 'KBR_ms.III.1635_005'];[0.311, 0.234, 1.0]
KBR_ms.III.1635_006;['KBR_ms.III.1635_006', 'KBR_ms.III.1635_007', 'AGR_Audience257-BIS_017'];[1.0, 0.17, 0.165]
KBR_ms.III.1635_007;['KBR_ms.III.1635_001', 'KBR_ms.III.1635_004', 'KBR_ms.III.1635_006', 'KBR_ms.III.1635_007', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_017', 'AGR_Audience257-BIS_018'];[0.248, 0.187, 0.17, 1.0, 0.167, 0.187, 0.171, 0.183, 0.186, 0.155, 0.155]
KBR_ms.III.987_001;['KBR_ms.III.987_001', 'AGR_Audience257-BIS_003', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_024'];[1.0, 0.233, 0.231, 0.186, 0.174, 0.168]
